v offset,I_a,I ol,I w
0.0,46.1396057414813,64.61650192585833,66.01500306088616
25.0,46.21747177635307,64.32210435547394,65.97891784274672
50.0,45.62356466922787,63.25155713538031,65.31354890594632
75.0,44.58173736467555,61.620215194556934,64.01980589324448
100.0,43.39759623975091,59.83122565847731,62.46379947890861
125.0,41.98678640127582,57.61826750915737,60.54961811089132
150.0,40.314712307841226,55.029493029533015,58.42041641687638
175.0,38.170260519928036,52.013437610380684,55.76585439035391
200.0,35.83917248051576,48.35106477458155,52.642740685968356
225.0,32.619551597068394,43.754258751243434,48.62083390587675
250.0,29.420068249981085,39.033653600767224,44.47890486123062
