property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],7.640199480939395,0.10766473027415609,1.9747516029761987,0.10766562149139138
Temporal distance 2 [s],6.830958047783426,0.7290166425870731,2.355628945077154,0.7290570033877523
temporal size 1 [s],2.1859744380361565,0.03189991428882137,0.5836092155756512,0.03190066239788202
temporal size 2 [s],2.79440618446429,0.04939837379904698,0.47902922676248405,0.04939588933612188
temporal period 1 [s],9.869812440049568,0.12370640920494683,1.8899078971351702,0.12376194860612594
temporal period 2 [s],11.456946680205085,0.1436272444854516,0.8669930720731989,0.14361883287217847
dt detectors [s],301.57720095409013,1.3268479270770883,9.863520501201618,1.3268517794924426
velocity [s],0.16505465786120102,0.0007789918572242265,0.003908680940408971,0.0007788770770308038
spatial size 1 [s],0.3567349426387326,0.005391204180279444,0.09773742830164212,0.005391456428751705
spatial size 2 [s],0.4682900250277687,0.006786106883109002,0.052036002847128504,0.006785749490714883
spatial distance 1 [s],1.2388150191777547,0.0195581013980483,0.3175152234391838,0.019558704409599413
spatial distance 2 [s],1.2348572850510802,0.16860157589982414,0.6364866581849811,0.16934318721740466
fiber spatial size 1 [s],0.13081140763171012,0.002491723464766044,0.04816561178287371,0.002491689541489362
fiber spatial size 2 [s],0.24198878180910363,0.01743927823412179,0.10877815789090084,0.017478832547776643
