property,mean,mean std,sigma,sigma std
Temporal distance 1 [s],1.705568849628162,0.0018132038251891533,0.04416103774239821,0.0018134350110954195
Temporal distance 2 [s],1.6839036887005463,0.0019689994949019254,0.04803380744446639,0.001979103922080964
temporal size 1 [s],1.7821528031886924,0.006106840095240815,0.0923398989004025,0.006106509239097737
temporal size 2 [s],1.8002662414655481,0.007012757219785621,0.111348046493426,0.007012773207471265
temporal period 1 [s],3.5246423965161386,0.018059072606732077,0.1934392215780576,0.021733603023216034
temporal period 2 [s],3.5105192432568213,0.016622628538385757,0.18450069396826274,0.019397640030155778
dt detectors [s],21.67120116580045,2.188834575258333,2.164147132641654,1.8192066111884697
velocity [s],2.259454452293714,0.16351499266301994,0.21394669022344148,0.20322210828833073
spatial size 1 [s],3.995745224865931,0.0057889603840325515,0.12610832703802388,0.005789114274665605
spatial size 2 [s],4.017974399246924,0.005666616413722922,0.13899056369226104,0.005666841366636865
spatial distance 1 [s],3.7456088672443495,0.0024021839717844364,0.08969904394664652,0.002402307376060391
spatial distance 2 [s],3.688838376496539,0.0015983158955560817,0.07566165816417647,0.0015984090589235347
fiber spatial size 1 [s],0.8650211633985964,9.540883729086883e-06,0.021471154190390696,9.581879817818626e-06
fiber spatial size 2 [s],0.8704935024920075,3.110646246573095e-05,0.020894542844306363,3.1136753863252884e-05
